VB_ID,ID_Num,FIRE_NAME,FIRE_YEAR,WFU,Veg,AGENCY,ICS_CODE,PCT_FS,FIRESIZE_HA,BA90_HA,BA90_PCT,MaxPatch_HA,IGNITION_DATE,CONT_DATE,sdc,MSI,AWMSI,MPFD,AWMPFD,max_tmmx,max_tmmn,min_rmax,max_bi
1985TRELOAR_CMPLX,48,TRELOAR COMPLEX,1985,no,Forest,USF,SHF,100.0,1612,243,15.1,115,19850726,19850806.0,0.009764465580877438,0.06658135050008676,0.02143472601095357,1.3707098856376723,1.363125489044638,36.88924560546877,17.063897705078148,33.54780578613281,64.24932861328125
1986CAENF00000082,52,1986CAENF00000082,1986,no,Forest,USF,ENF,99.95,239,24,10.1,22,19861029,19861105.0,0.008843297162496806,0.059463276578340635,0.016479392319720395,1.3383882385631736,1.3130076398089114,23.063897705078148,7.586755371093773,26.086408615112305,48.951595306396484
1986CASCADE_CREEK,58,CASCADE CREEK,1986,yes,Forest,NPS,YNP,0.0,837,16,1.9,7,19860727,19860922.0,0.023857585739184478,0.09496034377469878,0.04507575037715373,1.383248129879316,1.3745535409500287,25.447076416015648,11.250695800781273,37.0130500793457,67.59465789794922
1986DEER,59,DEER,1986,no,Forest,USF,SNF,100.0,5349,1204,22.5,206,19860909,19860920.0,0.006639721130988774,0.06967574614386962,0.016778422673779377,1.366396272197843,1.3481142465750624,28.070306396484398,11.642968750000023,39.0609130859375,58.54458236694336
1986GLACIER_POINT,61,GLACIER POINT,1986,no,Forest,NPS,YNP,0.0,278,122,43.8,98,19860627,19860701.0,0.005321623937975751,0.0856918089846982,0.013146922087809217,1.3887619346571294,1.3226997565433427,28.650292968750023,12.395959472656273,41.967044830322266,57.73493576049805
1987ASSIST_PNF,71,ASSIST P.N.F.,1987,no,Forest,CDF,LMU,63.24,499,244,49.0,201,19870831,19870908.0,0.003251491759545469,0.053347643614688606,0.009296637223644304,1.3639370181626695,1.303785401010031,33.72567138671877,15.939050292968773,39.24704360961914,75.07154083251953
1987BEAR,72,BEAR,1987,no,Forest,USF,SHF,97.58,2132,147,6.9,35,19870830,19870914.0,0.01175445447420885,0.079146202417382,0.02778457274604084,1.375889934693154,1.3319114438540394,39.74337158203127,15.718438720703148,51.445640563964844,64.66539001464844
1987BEARCAT,73,BEARCAT,1987,no,Forest,USF,KNF,94.96,1157,40,3.4,16,19870830,19870918.0,0.015811959119922395,0.08655568174089551,0.035267865499769804,1.3807450264246246,1.349810141289695,40.1061950683594,16.162896728515648,52.40412521362305,58.602783203125
1987BETTY_BLAKE,74,BETTY BLAKE,1987,yes,Forest,NPS,YNP,0.0,159,16,9.8,13,19870717,19871120.0,0.014884094400667661,0.06641798285012888,0.026204238596227208,1.372506106218812,1.3503303814433743,27.581079101562523,13.397668457031273,25.2834415435791,85.646697998046875
1987BIG,75,BIG,1987,no,Forest,USF,TNF,72.3,427,37,8.6,18,19870831,19870906.0,0.009157064236339166,0.07337165959961872,0.01998361502459932,1.3605594784924422,1.3146895210488743,32.17705688476565,18.070550537109398,38.6934814453125,76.05903625488281
