VB_ID,ID_Num,FIRE_NAME,FIRE_YEAR,WFU,Veg,AGENCY,ICS_CODE,PCT_FS,FIRESIZE_HA,BA90_HA,BA90_PCT,MaxPatch_HA,IGNITION_DATE,CONT_DATE,q,TMAX,MAXTMIN,T_dist,MAX_WSF5,W_dist,max_tmmx,max_tmmn,min_rmax,max_bi,sdc_BA90_resid,sdc_BA90_maxtmmx_resid,sdc_BA90_maxbi_resid,lat,long
1987FRIENDLY,95,FRIENDLY,1987,no,Forest,USF,SHF,88.92,1466,407,27.7,297,19870830,19870910.0,0.00457211887687436,NA,NA,NA,NA,NA,35.6999450683594,17.473596191406273,44.247501373291016,66.092315673828125,-0.24399365786795654,-0.13061254234969294,-0.25174572264840994,40.50117498,-123.31696867
1987FROG,96,FROG,1987,yes,Forest,NPS,YNP,0.0,1554,66,4.2,10,19870628,19871104.0,0.0199798209941104,36.1,18.3,8.6,NA,NA,27.691369628906273,13.106774902343773,24.98335838317871,76.31013488769531,0.26369478361716675,0.1933108913955252,0.2719256568193917,38.02979126,-119.73832037
1987GLASGOW,97,GLASGOW,1987,no,Forest,USF,KNF,96.56,6156,1273,20.7,480,19870830,19870922.0,0.0024930763483544,NA,NA,NA,NA,NA,38.5208679199219,17.875878906250023,38.50959396362305,56.62778854370117,-1.138512693681799,-0.9517020343309731,-1.1612701449294156,41.24072319,-123.20406907
1987GLEN_AULIN,98,GLEN AULIN,1987,yes,Forest,NPS,YNP,0.0,106,23,21.5,10,19870921,19871120.0,0.0164805908421668,33.9,16.7,23.1,NA,NA,22.291436767578148,4.254144287109398,29.874143600463867,68.53087615966797,0.7830743637304602,0.5699072407951243,0.7791326206808596,37.91411806,-119.42874352
1987GULCH_KNF,99,GULCH,1987,no,Forest,USF,KNF,98.74,4435,181,4.1,18,19870830,19871012.0,0.0159320608523717,42.2,12.2,9.7,NA,NA,39.69118652343752,18.246820068359398,31.429885864257812,73.42973327636719,0.033190315675753826,0.25826454918396885,0.036868670790665053,41.7600397,-123.27541205
1987GULCH_SHF,100,GULCH,1987,no,Forest,USF,SHF,89.93,2652,789,29.8,520,19870830,19870911.0,0.00387449599761072,40.0,14.4,23.7,NA,NA,41.6512390136719,15.027398681640648,55.66996765136719,68.81095123291016,-0.323136899819942,-0.06444789346164036,-0.32657812326471597,40.65192976,-123.46362018
1987HAMM_CMPLX,102,HAMM 87 CMPLX,1987,no,Forest,USF,STF,93.66,13624,2993,22.0,431,19870830,19870913.0,0.00491943930383619,NA,NA,NA,NA,NA,36.60231933593752,17.401147460937523,48.118045806884766,59.47439193725586,-0.40533875664081365,-0.26649762511502173,-0.42358872556354626,37.80529359,-120.06654958
1987HASLOE_CMPLX,103,HASLOE 87 CMPLX,1987,no,Forest,USF,STF,70.47,2783,1073,38.5,790,19870901,19870907.0,0.00405407694009318,NA,NA,NA,NA,NA,34.25808105468752,15.907678222656273,52.59340286254883,53.62908172607422,0.08018761610627881,0.15192357794729514,0.052815613996089916,37.72699127,-120.0630433
1987HIGHROCK,104,HIGHROCK,1987,no,Forest,USF,MDF,95.35,455,33,7.3,17,19870901,19870912.0,0.0103839730743477,30.6,12.2,12.3,NA,NA,31.586572265625023,13.634515380859398,39.38408660888672,67.69065856933594,-0.26319515951885547,-0.2394557476893155,-0.2685637754494086,41.29527746,-120.15239986
1987HOTELLING,105,HOTELLING,1987,no,Forest,USF,KNF,100.0,7453,696,9.3,268,19870830,19871017.0,0.00780612280044944,39.4,14.4,13.9,NA,NA,39.1090026855469,17.793695068359398,38.43508529663086,61.50491714477539,-0.46624754963992754,-0.2584664101094246,-0.48137736650230445,41.20145439,-123.28540431
1987INDIAN,106,INDIAN,1987,no,Forest,USF,TNF,99.93,3791,1523,40.2,939,19870829,19870911.0,0.00208642129362071,35.0,16.7,11.7,NA,NA,34.6268249511719,18.542047119140648,34.190860748291016,76.614349365234375,-0.51412775177698955,-0.43428251734374324,-0.5051648975107482,39.55527909,-120.97130117
