,name,width,area_ha,prop.hs
207,1985RICH_BAR,160,138.7523472,0.100233572
208,1985RICH_BAR,170,118.973835,0.085945735
209,1985RICH_BAR,180,101.1208814,0.073048906
210,1985RICH_BAR,190,85.16017141,0.061519018
211,1985RICH_BAR,200,71.07748689,0.051345801
212,1985RICH_BAR,210,59.39217599,0.042904427
213,1985RICH_BAR,220,49.03529209,0.035422698
214,1985RICH_BAR,230,39.91628828,0.028835203
215,1985RICH_BAR,240,32.74755074,0.023656565
216,1985RICH_BAR,250,26.86655974,0.019408185
217,1985RICH_BAR,260,22.03228814,0.015915946
218,1985RICH_BAR,270,17.76483537,0.012833173
219,1985RICH_BAR,280,13.97811668,0.010097678
220,1985RICH_BAR,290,10.65842949,0.007699563
221,1985RICH_BAR,300,8.134918094,0.005876599
222,1985RICH_BAR,310,5.978462915,0.004318793
223,1985RICH_BAR,320,4.169808756,0.003012236
224,1985RICH_BAR,330,2.748057282,0.001985174
225,1985RICH_BAR,340,1.637837198,0.00118316
226,1985RICH_BAR,350,0.854885295,0.000617562
227,1985RICH_BAR,360,0.390178143,0.000281862
228,1985RICH_BAR,370,0.110131439,7.96E-05
229,1985RICH_BAR,380,0.004859457,3.51E-06
230,1985RICH_BAR,390,0,0
231,1985RIVER,0,9.089979089,1
232,1985RIVER,10,5.693665345,0.626367265
233,1985RIVER,20,3.068460346,0.337565171
234,1985RIVER,30,1.306480354,0.143727542
235,1985RIVER,40,0.518287381,0.057017445
236,1985RIVER,50,0.227527598,0.025030596
237,1985RIVER,60,0.068116711,0.007493605
238,1985RIVER,70,0.000247042,2.72E-05
239,1985RIVER,80,0,0
240,1985TRELOAR_CMPLX,0,255.3300128,1
241,1985TRELOAR_CMPLX,10,205.5240733,0.804935037
242,1985TRELOAR_CMPLX,20,164.6752574,0.644950648
243,1985TRELOAR_CMPLX,30,133.1137626,0.521340054
244,1985TRELOAR_CMPLX,40,109.2402953,0.427839618
245,1985TRELOAR_CMPLX,50,90.27277781,0.353553336
246,1985TRELOAR_CMPLX,60,75.55885372,0.295926252
247,1985TRELOAR_CMPLX,70,64.18067216,0.251363604
248,1985TRELOAR_CMPLX,80,54.70313593,0.214244833
249,1985TRELOAR_CMPLX,90,46.62533097,0.18260811
250,1985TRELOAR_CMPLX,100,39.83085461,0.155997543
251,1985TRELOAR_CMPLX,110,34.04512545,0.133337734
252,1985TRELOAR_CMPLX,120,28.99429792,0.113556168
253,1985TRELOAR_CMPLX,130,24.51092504,0.095997038
254,1985TRELOAR_CMPLX,140,20.77577638,0.081368329
255,1985TRELOAR_CMPLX,150,17.87582861,0.070010683
256,1985TRELOAR_CMPLX,160,15.25914235,0.059762431
257,1985TRELOAR_CMPLX,170,12.78899312,0.050088092
258,1985TRELOAR_CMPLX,180,10.45528288,0.040948116
259,1985TRELOAR_CMPLX,190,8.414953544,0.032957166
260,1985TRELOAR_CMPLX,200,6.608204531,0.025881033
261,1985TRELOAR_CMPLX,210,5.050434378,0.019780026
