"","name","width","area_ha","prop.hs","q","q.name"
"2190","2008CORRAL",170,387.257870543705,0.220478830333434,-0.00400749772308628,"-0.0040"
"2191","2008CORRAL",180,359.729149448739,0.204805810650007,-0.00400749772308628,"-0.0040"
"2192","2008CORRAL",190,334.956253277051,0.190701774070358,-0.00400749772308628,"-0.0040"
"2193","2008CORRAL",200,312.227805054546,0.177761709941109,-0.00400749772308628,"-0.0040"
"2194","2008CORRAL",210,291.097768380946,0.165731674853231,-0.00400749772308628,"-0.0040"
"2195","2008CORRAL",220,271.519685957917,0.15458521911628,-0.00400749772308628,"-0.0040"
"2196","2008CORRAL",230,253.252304389946,0.144184989120423,-0.00400749772308628,"-0.0040"
"2197","2008CORRAL",240,236.11219866871,0.134426554886655,-0.00400749772308628,"-0.0040"
"2198","2008CORRAL",250,220.066175281924,0.125291018240609,-0.00400749772308628,"-0.0040"
"2199","2008CORRAL",260,204.76555797517,0.116579866153665,-0.00400749772308628,"-0.0040"
"2200","2008CORRAL",270,190.152634986519,0.108260241393639,-0.00400749772308628,"-0.0040"
"2201","2008CORRAL",280,176.29549416007,0.100370908642592,-0.00400749772308628,"-0.0040"
"2202","2008CORRAL",290,163.142876993452,0.0928826847243846,-0.00400749772308628,"-0.0040"
"2203","2008CORRAL",300,151.157981298748,0.0860592836125453,-0.00400749772308628,"-0.0040"
"2204","2008CORRAL",310,140.093346708198,0.079759817860781,-0.00400749772308628,"-0.0040"
"2205","2008CORRAL",320,129.429593883554,0.0736885874776736,-0.00400749772308628,"-0.0040"
"2206","2008CORRAL",330,119.979493301994,0.0683083298218887,-0.00400749772308628,"-0.0040"
"2207","2008CORRAL",340,111.13314843816,0.0632718104463992,-0.00400749772308628,"-0.0040"
"2208","2008CORRAL",350,102.661234778722,0.0584484672521179,-0.00400749772308628,"-0.0040"
"2209","2008CORRAL",360,94.6211270288251,0.053870965573551,-0.00400749772308628,"-0.0040"
"2210","2008CORRAL",370,87.0387408436442,0.0495540600581178,-0.00400749772308628,"-0.0040"
"2211","2008CORRAL",380,79.7608529494201,0.0454105155822791,-0.00400749772308628,"-0.0040"
"2212","2008CORRAL",390,72.7386260829667,0.0414125274621722,-0.00400749772308628,"-0.0040"
"2213","2008CORRAL",400,65.9663837930592,0.0375568639046644,-0.00400749772308628,"-0.0040"
"2214","2008CORRAL",410,59.4661726572383,0.0338560767621487,-0.00400749772308628,"-0.0040"
"2215","2008CORRAL",420,53.1880751311756,0.0302817463106536,-0.00400749772308628,"-0.0040"
"2216","2008CORRAL",430,47.1254733948495,0.0268301048043727,-0.00400749772308628,"-0.0040"
"2217","2008CORRAL",440,41.2541064082597,0.0234873396235277,-0.00400749772308628,"-0.0040"
"2218","2008CORRAL",450,35.6792401134058,0.0203133821821231,-0.00400749772308628,"-0.0040"
"2219","2008CORRAL",460,30.4276500847229,0.0173234767083129,-0.00400749772308628,"-0.0040"
"2220","2008CORRAL",470,25.4204574040915,0.0144727148014476,-0.00400749772308628,"-0.0040"
"2221","2008CORRAL",480,20.8622883310657,0.0118775970204409,-0.00400749772308628,"-0.0040"
"2222","2008CORRAL",490,16.6196451715825,0.00946211867261111,-0.00400749772308628,"-0.0040"
"2223","2008CORRAL",500,12.9633428306568,0.00738046372176176,-0.00400749772308628,"-0.0040"
"2224","2008CORRAL",510,10.1764207756952,0.00579377598305755,-0.00400749772308628,"-0.0040"
"2225","2008CORRAL",520,7.74375655013441,0.0044087790498962,-0.00400749772308628,"-0.0040"
"2226","2008CORRAL",530,5.69952374060878,0.00324492908568334,-0.00400749772308628,"-0.0040"
"2227","2008CORRAL",540,4.11210281786247,0.00234115737459444,-0.00400749772308628,"-0.0040"
"2228","2008CORRAL",550,2.8764019139322,0.00163763160878366,-0.00400749772308628,"-0.0040"
"2229","2008CORRAL",560,1.83321851593399,0.00104371248432278,-0.00400749772308628,"-0.0040"
"2230","2008CORRAL",570,1.13998587979823,0.000649032008107833,-0.00400749772308628,"-0.0040"
"2231","2008CORRAL",580,0.659813148242051,0.000375653646390151,-0.00400749772308628,"-0.0040"
"2232","2008CORRAL",590,0.328014397710332,0.000186749544013561,-0.00400749772308628,"-0.0040"
