"","name","X","width","area_ha","prop.hs","sdc","sdc.name"
"98","1985CALNF00000069",98,290,0.275035319,0.002126616,0.00496931243193866,"0.0050"
"99","1985CALNF00000069",99,300,0.096774625,0.000748276,0.00496931243193866,"0.0050"
"100","1985CALNF00000069",100,310,0.00499189,3.86e-05,0.00496931243193866,"0.0050"
"101","1985CALNF00000069",101,320,0,0,0.00496931243193866,"0.0050"
"102","1985DELTA",102,0,411.2100621,1,0.00185435784993555,"0.0019"
"103","1985DELTA",103,10,388.3868473,0.944497431,0.00185435784993555,"0.0019"
"104","1985DELTA",104,20,368.6190294,0.89642512,0.00185435784993555,"0.0019"
"105","1985DELTA",105,30,351.7351946,0.855366216,0.00185435784993555,"0.0019"
"106","1985DELTA",106,40,336.9388433,0.819383751,0.00185435784993555,"0.0019"
"107","1985DELTA",107,50,323.403107,0.78646691,0.00185435784993555,"0.0019"
"108","1985DELTA",108,60,310.8523701,0.755945437,0.00185435784993555,"0.0019"
"109","1985DELTA",109,70,298.8829111,0.726837543,0.00185435784993555,"0.0019"
"110","1985DELTA",110,80,287.6367415,0.699488578,0.00185435784993555,"0.0019"
"111","1985DELTA",111,90,277.2153875,0.674145438,0.00185435784993555,"0.0019"
"112","1985DELTA",112,100,267.6516455,0.65088788,0.00185435784993555,"0.0019"
"113","1985DELTA",113,110,258.5277392,0.628699935,0.00185435784993555,"0.0019"
"114","1985DELTA",114,120,249.7229637,0.607288067,0.00185435784993555,"0.0019"
"115","1985DELTA",115,130,241.1327875,0.586398072,0.00185435784993555,"0.0019"
"116","1985DELTA",116,140,232.8926682,0.566359361,0.00185435784993555,"0.0019"
"117","1985DELTA",117,150,225.0162467,0.547205109,0.00185435784993555,"0.0019"
"118","1985DELTA",118,160,217.4272254,0.528749769,0.00185435784993555,"0.0019"
"119","1985DELTA",119,170,210.0211443,0.510739312,0.00185435784993555,"0.0019"
"120","1985DELTA",120,180,202.7945012,0.493165221,0.00185435784993555,"0.0019"
"121","1985DELTA",121,190,195.7666919,0.476074663,0.00185435784993555,"0.0019"
"122","1985DELTA",122,200,188.9113916,0.459403621,0.00185435784993555,"0.0019"
"123","1985DELTA",123,210,182.2473341,0.443197652,0.00185435784993555,"0.0019"
"124","1985DELTA",124,220,175.7282562,0.427344251,0.00185435784993555,"0.0019"
"125","1985DELTA",125,230,169.332835,0.411791565,0.00185435784993555,"0.0019"
"126","1985DELTA",126,240,163.0489868,0.396510207,0.00185435784993555,"0.0019"
"127","1985DELTA",127,250,156.8683194,0.381479769,0.00185435784993555,"0.0019"
"128","1985DELTA",128,260,150.7933306,0.366706325,0.00185435784993555,"0.0019"
"129","1985DELTA",129,270,144.8302401,0.352205,0.00185435784993555,"0.0019"
"130","1985DELTA",130,280,138.9746858,0.337965188,0.00185435784993555,"0.0019"
"131","1985DELTA",131,290,133.2195923,0.32396968,0.00185435784993555,"0.0019"
"132","1985DELTA",132,300,127.5650877,0.310218789,0.00185435784993555,"0.0019"
"133","1985DELTA",133,310,122.0032052,0.296693142,0.00185435784993555,"0.0019"
"134","1985DELTA",134,320,116.5505633,0.28343315,0.00185435784993555,"0.0019"
"135","1985DELTA",135,330,111.2209591,0.270472368,0.00185435784993555,"0.0019"
"136","1985DELTA",136,340,106.0175199,0.257818399,0.00185435784993555,"0.0019"
"137","1985DELTA",137,350,100.9482711,0.245490761,0.00185435784993555,"0.0019"
"138","1985DELTA",138,360,95.98189195,0.233413286,0.00185435784993555,"0.0019"
"139","1985DELTA",139,370,91.12710234,0.22160718,0.00185435784993555,"0.0019"
"140","1985DELTA",140,380,86.38269232,0.2100695,0.00185435784993555,"0.0019"
"141","1985DELTA",141,390,81.73740769,0.198772878,0.00185435784993555,"0.0019"
"142","1985DELTA",142,400,77.18992225,0.187714089,0.00185435784993555,"0.0019"
"143","1985DELTA",143,410,72.73238787,0.176874047,0.00185435784993555,"0.0019"
"144","1985DELTA",144,420,68.36136016,0.166244376,0.00185435784993555,"0.0019"
"145","1985DELTA",145,430,64.07737458,0.155826378,0.00185435784993555,"0.0019"
"146","1985DELTA",146,440,59.87722639,0.14561226,0.00185435784993555,"0.0019"
"147","1985DELTA",147,450,55.76119606,0.135602703,0.00185435784993555,"0.0019"
"148","1985DELTA",148,460,51.73085587,0.125801532,0.00185435784993555,"0.0019"
"149","1985DELTA",149,470,47.78416906,0.116203793,0.00185435784993555,"0.0019"
"150","1985DELTA",150,480,43.93877309,0.106852378,0.00185435784993555,"0.0019"
"151","1985DELTA",151,490,40.19715578,0.097753337,0.00185435784993555,"0.0019"
"152","1985DELTA",152,500,36.55879156,0.088905391,0.00185435784993555,"0.0019"
"153","1985DELTA",153,510,33.02810269,0.080319296,0.00185435784993555,"0.0019"
"154","1985DELTA",154,520,29.5984655,0.071978943,0.00185435784993555,"0.0019"
"155","1985DELTA",155,530,26.26223512,0.06386574,0.00185435784993555,"0.0019"
"156","1985DELTA",156,540,23.12126363,0.056227378,0.00185435784993555,"0.0019"
"157","1985DELTA",157,550,20.21300682,0.049154942,0.00185435784993555,"0.0019"
"158","1985DELTA",158,560,17.54635342,0.042670049,0.00185435784993555,"0.0019"
"159","1985DELTA",159,570,15.0482445,0.03659503,0.00185435784993555,"0.0019"
"160","1985DELTA",160,580,12.71479178,0.03092043,0.00185435784993555,"0.0019"
"161","1985DELTA",161,590,10.52435558,0.025593624,0.00185435784993555,"0.0019"
"162","1985DELTA",162,600,8.477591702,0.020616207,0.00185435784993555,"0.0019"
"163","1985DELTA",163,610,6.845765847,0.016647856,0.00185435784993555,"0.0019"
"164","1985DELTA",164,620,5.541579485,0.013476274,0.00185435784993555,"0.0019"
"165","1985DELTA",165,630,4.40387416,0.010709549,0.00185435784993555,"0.0019"
"166","1985DELTA",166,640,3.397096766,0.00826122,0.00185435784993555,"0.0019"
"167","1985DELTA",167,650,2.520652162,0.006129841,0.00185435784993555,"0.0019"
"168","1985DELTA",168,660,1.763638073,0.004288898,0.00185435784993555,"0.0019"
"169","1985DELTA",169,670,1.113096219,0.00270688,0.00185435784993555,"0.0019"
"170","1985DELTA",170,680,0.620579198,0.001509154,0.00185435784993555,"0.0019"
"171","1985DELTA",171,690,0.281411975,0.000684351,0.00185435784993555,"0.0019"
"172","1985DELTA",172,700,0.0831212,0.000202138,0.00185435784993555,"0.0019"
"173","1985DELTA",173,710,0.002799841,6.81e-06,0.00185435784993555,"0.0019"
"174","1985DELTA",174,720,0,0,0.00185435784993555,"0.0019"
"175","1985MAMMOTH",175,0,29.87999529,1,0.00842938784173958,"0.0084"
"176","1985MAMMOTH",176,10,25.46642717,0.8522902,0.00842938784173958,"0.0084"
"177","1985MAMMOTH",177,20,21.69338178,0.726016907,0.00842938784173958,"0.0084"
"178","1985MAMMOTH",178,30,18.44828312,0.617412517,0.00842938784173958,"0.0084"
"179","1985MAMMOTH",179,40,15.49658562,0.518627445,0.00842938784173958,"0.0084"
"180","1985MAMMOTH",180,50,12.7644132,0.427189264,0.00842938784173958,"0.0084"
"181","1985MAMMOTH",181,60,10.27337668,0.343821228,0.00842938784173958,"0.0084"
"182","1985MAMMOTH",182,70,7.968213546,0.266673855,0.00842938784173958,"0.0084"
"183","1985MAMMOTH",183,80,5.947596932,0.19904946,0.00842938784173958,"0.0084"
"184","1985MAMMOTH",184,90,4.332396958,0.144993228,0.00842938784173958,"0.0084"
"185","1985MAMMOTH",185,100,2.94829437,0.098671179,0.00842938784173958,"0.0084"
"186","1985MAMMOTH",186,110,1.806207091,0.060448707,0.00842938784173958,"0.0084"
"187","1985MAMMOTH",187,120,0.921936649,0.030854645,0.00842938784173958,"0.0084"
"188","1985MAMMOTH",188,130,0.305110515,0.010211197,0.00842938784173958,"0.0084"
"189","1985MAMMOTH",189,140,0.005503727,0.000184194,0.00842938784173958,"0.0084"
"190","1985MAMMOTH",190,150,0,0,0.00842938784173958,"0.0084"
"191","1985RICH_BAR",191,0,1384.290162,1,0.00662937752794894,"0.0066"
"192","1985RICH_BAR",192,10,1167.55814,0.843434543,0.00662937752794894,"0.0066"
"193","1985RICH_BAR",193,20,982.2990338,0.709604865,0.00662937752794894,"0.0066"
"194","1985RICH_BAR",194,30,830.4310978,0.599896699,0.00662937752794894,"0.0066"
"195","1985RICH_BAR",195,40,710.3167617,0.513127075,0.00662937752794894,"0.0066"
"196","1985RICH_BAR",196,50,613.7910361,0.443397673,0.00662937752794894,"0.0066"
"197","1985RICH_BAR",197,60,541.1846956,0.390947441,0.00662937752794894,"0.0066"
"198","1985RICH_BAR",198,70,469.4823454,0.339150244,0.00662937752794894,"0.0066"
"199","1985RICH_BAR",199,80,418.123327,0.302048905,0.00662937752794894,"0.0066"
"200","1985RICH_BAR",200,90,367.5767929,0.265534498,0.00662937752794894,"0.0066"
"201","1985RICH_BAR",201,100,322.503748,0.232974095,0.00662937752794894,"0.0066"
"202","1985RICH_BAR",202,110,281.50153,0.203354425,0.00662937752794894,"0.0066"
"203","1985RICH_BAR",203,120,245.4696722,0.177325303,0.00662937752794894,"0.0066"
"204","1985RICH_BAR",204,130,213.7483751,0.154410095,0.00662937752794894,"0.0066"
"205","1985RICH_BAR",205,140,185.7232605,0.134164979,0.00662937752794894,"0.0066"
"206","1985RICH_BAR",206,150,160.9417576,0.116263022,0.00662937752794894,"0.0066"
"207","1985RICH_BAR",207,160,138.7523472,0.100233572,0.00662937752794894,"0.0066"
"208","1985RICH_BAR",208,170,118.973835,0.085945735,0.00662937752794894,"0.0066"
"209","1985RICH_BAR",209,180,101.1208814,0.073048906,0.00662937752794894,"0.0066"
"210","1985RICH_BAR",210,190,85.16017141,0.061519018,0.00662937752794894,"0.0066"
"211","1985RICH_BAR",211,200,71.07748689,0.051345801,0.00662937752794894,"0.0066"
"212","1985RICH_BAR",212,210,59.39217599,0.042904427,0.00662937752794894,"0.0066"
"213","1985RICH_BAR",213,220,49.03529209,0.035422698,0.00662937752794894,"0.0066"
