VB_ID,ID_Num,fire_name,fire_year,class,veg_type,agency,ICS_code,pct_fs,firesize_ha,BA90_ha,BA90_pct,max_patch_ha,ignition_date,contain_date,sdc,awmsi,awmpfd,max_tmmx,max_tmmn,min_rmax,max_bi,region,fire_year_std,max_tmmx_std,max_tmmn_std,min_rmax_std,max_bi_std
2006HARVEY,673,HARVEY,2006,SUP,Forest,USFS,MNF,100.0,514,11,2.2,8,20060626,20061127.0,0.01937265248362344,0.036220531911843955,1.3547769093691817,33.44143066406252,21.954858398437523,19.82938575744629,91.54925537109375,NW,0.5867124210134725,0.419884833666559,1.7332909157798824,-1.3736930225210395,1.6563092749811212
2006HIGH,674,HIGH,2006,SUP,Forest,USFS,MDF,95.13,425,52,12.2,15,20060626,20060715.0,0.020363224778730763,0.03802978474490989,1.3661597002065216,35.80498657226565,17.395837402343773,45.692440032958984,57.894779205322266,SCSN,0.5867124210134725,0.8535485267016972,0.6594941037070473,0.7818398688557995,-0.9363504321803557
2006HUNTER,677,HUNTER,2006,SUP,Forest,USFS,MNF,92.7,6592,775,11.7,198,20060725,20060907.0,0.008170265375960446,0.021041639014206026,1.3426571429784777,35.04940185546877,21.417840576171898,19.772994995117188,69.19779968261719,NW,0.5867124210134725,0.7149143367721049,1.6068058598722201,-1.378392859658422,-0.06559298475027617
2006KINGSLEY,680,KINGSLEY,2006,SUP,Forest,USFS,MNF,100.0,237,10,4.4,4,20060725,20060809.0,0.023824815855644804,0.04115946108815884,1.3505021678341755,30.267999267578148,20.482110595703148,28.713706970214844,70.31195068359375,NW,0.5867124210134725,-0.16237428456149972,1.3864112025874133,-0.633237298008589,0.02023852228899982
2006LAKIN,681,LAKIN,2006,SUP,Forest,USFS,SHF,100.0,200,114,57.1,100,20060724,20060729.0,0.0044917229537403455,0.010280618905190239,1.2992927795017983,34.82625732421877,17.950463867187523,43.85267639160156,69.94786834716797,NW,0.5867124210134725,0.6739719240427873,0.7901265641301795,0.6285064303894901,-0.007809503153166316
2006LAVA,682,LAVA,2006,SUP,Forest,USFS,MDF,100.0,85,5,5.7,4,20060628,20060709.0,0.024428381624204718,0.0370370208747017,1.36371206033641,31.233728027343773,16.742700195312523,43.23408126831055,53.629798889160156,SCSN,0.5867124210134725,0.014816997005685777,0.5056591792008367,0.5769501787382082,-1.2649142334139216
2006MIDDLET,684,MIDDLET,2006,SUP,Forest,NPS,YNP,0.0,192,12,6.1,10,20060721,20060828.0,0.01375734566429863,0.02666666806122078,1.324771868131038,28.370812988281273,14.890008544921898,27.344703674316406,75.25856018066406,SCSN,0.5867124210134725,-0.5104687829399867,0.06929040843887306,-0.7473356408136126,0.4013133922987171
2006PANTHER,687,PANTHER,2006,SUP,Forest,USFS,SRF,84.5,366,8,2.2,2,20060724,20060812.0,0.031010346799918723,0.05227261400149436,1.3529387496267242,42.4139343261719,19.970849609375023,41.6820182800293,84.44551086425781,NW,0.5867124210134725,2.066153940471734,1.2659927141165908,0.44759489126559043,1.109053924396436
2006RALSTON,691,RALSTON,2006,SUP,Forest,USFS,TNF,72.87,3524,85,2.4,18,20060905,20060919.0,0.01894571324813742,0.03857798042642211,1.358131879517426,32.91018066406252,19.510003662109398,26.878469467163086,88.201324462890625,SCSN,0.5867124210134725,0.3224114309324283,1.1574485969794872,-0.7861935095671693,1.3983927492475585
2006RUSH,696,RUSH,2006,SUP,Forest,USFS,KNF,99.73,1972,171,8.7,62,20060724,20060823.0,0.008674696594529673,0.022900226379131503,1.3332463860035737,30.510034179687523,18.827569580078148,37.31792449951172,58.13841247558594,NW,0.5867124210134725,-0.11796587710031001,0.9967133114076769,0.08387343807801026,-0.9175815124079828
2006SAWMILL,698,SAWMILL,2006,SUP,Forest,USFS,INF,80.17,3017,1907,63.2,1727,20060914,20060923.0,0.002763983159110897,0.007238435135339959,1.3820808743911406,23.881005859375023,8.618981933593773,35.83973693847656,100.70883178710938,SCSN,0.5867124210134725,-1.3342556600683628,-1.4077390655288275,-0.039324768657076715,2.361940959500489
2006SMITH,700,SMITH,2006,SUP,Forest,USFS,SQF,100.0,94,40,42.5,27,20060627,20060706.0,0.007269930309956348,0.017417411505415686,1.2990875709016036,31.844110107421898,18.696221923828148,35.51181411743164,75.58158111572266,SCSN,0.5867124210134725,0.1268095020657356,0.9657766926302388,-0.0666551998994787,0.4261981463733566
2006SOMES,701,SOMES,2006,SUP,Forest,USFS,SRF,99.53,6275,239,3.8,77,20060724,20061018.0,0.008049873448967074,0.022355589339495528,1.3361540892836756,36.38582763671877,22.427423095703148,20.422454833984375,73.37791442871094,NW,0.5867124210134725,0.9601208655251524,1.8445951773432256,-1.3242642161736504,0.2564329775652884
