"","ID_Num","VB_ID","FIRE_NAME","FIRE_YEAR","WFU","Veg","NUM_ASSESS","AGENCY","ICS_CODE","PCT_FS","FIRESIZE_HA","BA90_HA","BA90_PCT","BA90_PCT_integer","MaxPatch_HA","MaxPatch_PCT_of_HS","MaxPatch_PCT_of_firesize","TCA100_BA90_HA","TCA100_Pct_of_fireSize","TCA100_Pct_of_BA90","TCA200_BA90_HA","TCA200_Pct_of_fireSize","TCA200_Pct_of_BA90","SDI_LOG","SEI_LOG","SDI_LOG200","SEI_LOG200","SDI_LOGMN1MX200","SEI_LOGMN1MX200","SIMDI_LOGMX200","SIMDI_LOGMN1MX200","SDI_LIN5","SEI_LIN5","SEI_LIN5_MaxP_GT_40ha","Nptype_LIN5","SDI_LIN5_max400","SEI_LIN5_max400","SDI_LIN5_max200","SEI_LIN5_max200","SDI_LIN5_min1max200","SEI_LIN5_min1max200","SIMDI_LIN5MAX200","SIMDI_LIN5MIN1MAX200","MPS","N","MEDPS","PSCOV","PSSD","q"
"360",459,"2008SCOTCHMAN","SCOTCHMAN",2008,"no","Forest",2,"USF","TNF",NA,508,83,16.3,16,38,45.3,7.4,2.4,0.5,2.8,0,0,0,NA,NA,1.281,0.616,NA,NA,0.665,NA,NA,NA,NA,NA,NA,NA,1.06,0.964,NA,NA,0.641,NA,4.605,18,1.035,193.908,8.929,-0.0116201563288839
"361",332,"2008SHERWIN","SHERWIN",2008,"no","Forest",1,"USF","INF",100,137,13,9.3,9,12,90.8,8.5,0,0,0,0,0,0,0.306,0.442,0.331,0.301,0.291,0.42,0.168,0.156,0.306,0.442,NA,2,0.306,0.442,0.306,0.442,0.291,0.42,0.166,0.156,4.26,3,1.08,122.369,5.213,-0.0133328076008405
"362",333,"2008SISKIYOUBLUE2COMPLEX","SISKIYOU BLUE2 COMPLEX",2008,"no","Forest",2,"USF","SRF",100,40593,6545,16.1,16,681,10.4,1.7,1813.3,4.5,27.7,729.7,1.8,11.1,1.968,0.946,1.918,0.772,1.789,0.861,0.795,0.78,3.05,0.906,0.906,29,3.05,0.906,2.354,0.751,2.361,0.753,0.818,0.812,5.92,1106,0.63,552.938,32.722,-0.00469559324994261
"363",334,"2008SLIDE","SLIDE",2008,"no","Forest",2,"USF","SHF",93,478,13,2.7,2,2,18.3,0.5,0,0,0,0,0,0,0,NA,1.347,0.752,0.69,0.995,0.691,0.496,0,NA,NA,NA,0,NA,0,NA,0,NA,0,0,0.85,15,0.45,92.562,0.789,-0.0281512552630452
"364",335,"2008TEHIPITE","TEHIPITE",2008,"no","Forest",1,"USF","SNF",62,4881,326,6.7,6,30,9.2,0.6,16.2,0.3,5,0,0,0,1.223,0.882,1.653,0.752,1.388,0.863,0.755,0.707,1.57,0.876,NA,6,1.57,0.876,1.57,0.876,1.623,0.906,0.754,0.777,2.69,121,0.72,204.921,5.518,-0.013168118143661
"365",336,"2008TELEPHONE","TELEPHONE",2008,"no","Forest",2,"USF","SHF",98,2983,424,14.2,14,70,16.5,2.3,23.5,0.8,5.6,0,0,0,1.585,0.985,1.837,0.798,1.668,0.931,0.813,0.794,2.001,0.962,0.962,8,2.001,0.962,2.001,0.962,2.012,0.967,0.857,0.859,3.85,110,0.63,246.107,9.476,-0.00929155889412054
"366",337,"2008TROUGH","TROUGH",2008,"no","Forest",2,"USF","SHF",97,1515,525,34.7,34,186,35.4,12.3,163.5,10.8,31.1,59.5,3.9,11.3,1.091,0.609,1.175,0.49,1.068,0.549,0.512,0.489,1.563,0.803,0.803,7,1.563,0.803,1.563,0.803,1.534,0.788,0.741,0.732,11.42,46,0.585,326.609,37.299,-0.00453039392629929
"367",461,"2008YELLOW","YELLOW,CAMP,JOHNSON",2008,"no","Forest",2,"USF","MNF",NA,13257,1848,13.9,13,809,43.8,6.1,704.1,5.3,38.1,387.8,2.9,21,NA,NA,1.779,0.716,NA,NA,0.753,NA,NA,NA,NA,NA,NA,NA,1.888,0.787,NA,NA,0.765,NA,6.306,293,0.54,778.127,49.065,-0.00250626625732919
"368",338,"2008ZEIGLER","ZEIGLER",2008,"no","Forest",2,"USF","SHF",100,1006,20,1.9,1,9,47.5,0.9,0.3,0,1.6,0,0,0,0.692,0.998,1.15,0.642,0.689,0.994,0.613,0.496,0.692,0.998,NA,2,0.692,0.998,0.692,0.998,0.689,0.994,0.499,0.496,1.4,14,0.315,171.436,2.392,-0.015232793959409
"369",339,"2009BACKBONE","LT-17(BACKBONE)",2009,"no","Forest",2,"USF","SRF",100,2102,530,25.2,25,343,64.7,16.3,188.8,9,35.6,68.2,3.2,12.9,1.077,0.669,1.187,0.516,1.061,0.592,0.543,0.517,1.077,0.669,0.669,5,1.077,0.669,1.077,0.669,1.03,0.64,0.539,0.516,7.92,67,0.45,541.753,42.892,-0.00365669768748678
"371",341,"2009BLACKJACK","BLACKJACK",2009,"no","Forest",1,"USF","INF",100,113,11,9.5,9,9,82.4,7.8,0,0,0,0,0,0,0.466,0.672,0.5,0.455,0,NA,0.293,0,0.466,0.672,NA,2,0.466,0.672,0.466,0.672,0,NA,0.291,0,2.68,4,0.9,133.047,3.562,-0.0138987960173493
"372",342,"2009BROWN","BROWN",2009,"no","Forest",2,"USF","LNF",91,734,309,42,42,271,87.9,37,111.1,15.1,36,37.7,5.1,12.2,0.416,0.379,0.431,0.268,0.393,0.358,0.216,0.207,0.486,0.351,0.351,4,0.486,0.351,0.486,0.351,0.464,0.335,0.221,0.212,38.58,8,1.98,228.722,88.232,-0.00277592539071961
"374",344,"2009ELEPHANT","ELEPHANT",2009,"no","Forest",1,"USF","PNF",78,174,5,3.2,3,2,32.8,1,0,0,0,0,0,0,0,NA,0.723,0.658,0,NA,0.4,0,0,NA,NA,NA,0,NA,0,NA,0,NA,0,0,0.92,6,0.81,56.337,0.515,-0.0296339002385463
"377",347,"2009GRANITE","GRANITE",2009,"no","Forest",2,"USF","SQF",100,577,12,2.1,2,5,38.3,0.8,0,0,0,0,0,0,0,NA,0.628,0.453,0,NA,0.329,0,0,NA,NA,NA,0,NA,0,NA,0,NA,0,0,1.71,7,0.99,86.07,1.472,-0.0209966481817361
"380",350,"2009KNIGHT","KNIGHT",2009,"no","Forest",2,"USF","STF",84,2501,74,3,2,30,40.6,1.2,6,0.2,8.1,0,0,0,0.924,0.841,1.554,0.747,1.188,0.857,0.729,0.654,0.924,0.841,NA,3,0.924,0.841,0.924,0.841,0.949,0.863,0.571,0.585,1.95,38,0.495,249.29,4.859,-0.0127004239217165
"381",351,"2009MILFORD_GRADE","MILFORD_GRADE",2009,"no","Forest",1,"USF","PNF",100,132,1,1,1,1,60,0.6,0,0,0,0,0,0,0,NA,0,NA,NA,NA,0,NA,0,NA,NA,NA,0,NA,0,NA,NA,NA,0,NA,0.68,2,0.675,20,0.135,-0.037743525752934
"382",352,"2009REDROCK","REDROCK",2009,"no","Forest",2,"USF","KNF",100,555,58,10.4,10,15,26.1,2.7,0.4,0.1,0.7,0,0,0,0.902,0.821,1.212,0.623,0.98,0.707,0.57,0.512,1.327,0.958,NA,4,1.327,0.958,1.327,0.958,1.314,0.948,0.722,0.714,3.03,19,0.9,143.812,4.36,-0.0153910628069652
"383",353,"2009REDSPOT","REDSPOT",2009,"no","Forest",2,"USF","SHF",100,468,170,36.4,36,124,72.6,26.4,22.6,4.8,13.3,1,0.2,0.6,0.841,0.607,0.947,0.431,0.808,0.502,0.444,0.408,0.841,0.607,0.607,4,0.841,0.607,0.841,0.607,0.781,0.564,0.439,0.407,8.11,21,0.72,322.291,26.133,-0.00465158739332638
"384",354,"2009SHOTGUN","SHOTGUN",2009,"yes","Forest",2,"USF","SQF",100,386,33,8.4,8,18,55.8,4.7,0.1,0,0.4,0,0,0,0.686,0.99,1.285,0.717,0.847,0.771,0.633,0.491,0.686,0.99,NA,2,0.686,0.99,0.686,0.99,0.633,0.914,0.493,0.441,1.92,17,0.63,216.656,4.152,-0.0178492488679632
"385",355,"2009SILVER","SILVER",2009,"no","Forest",1,"USF","PNF",100,127,52,40.8,40,52,99.1,40.5,3.6,2.8,6.9,0,0,0,0.05,0.072,0.05,0.072,0,NA,0.017,0,0.05,0.072,0.072,2,0.05,0.072,0.05,0.072,0,NA,0.017,0,26.01,2,26.01,98.27,25.56,-0.00814675142128008
