"","ID_Num","VB_ID","FIRE_NAME","FIRE_YEAR","WFU","Veg","NUM_ASSESS","AGENCY","ICS_CODE","PCT_FS","FIRESIZE_HA","BA90_HA","BA90_PCT","BA90_PCT_integer","MaxPatch_HA","MaxPatch_PCT_of_HS","MaxPatch_PCT_of_firesize","TCA100_BA90_HA","TCA100_Pct_of_fireSize","TCA100_Pct_of_BA90","TCA200_BA90_HA","TCA200_Pct_of_fireSize","TCA200_Pct_of_BA90","SDI_LOG","SEI_LOG","SDI_LOG200","SEI_LOG200","SDI_LOGMN1MX200","SEI_LOGMN1MX200","SIMDI_LOGMX200","SIMDI_LOGMN1MX200","SDI_LIN5","SEI_LIN5","SEI_LIN5_MaxP_GT_40ha","Nptype_LIN5","SDI_LIN5_max400","SEI_LIN5_max400","SDI_LIN5_max200","SEI_LIN5_max200","SDI_LIN5_min1max200","SEI_LIN5_min1max200","SIMDI_LIN5MAX200","SIMDI_LIN5MIN1MAX200","MPS","N","MEDPS","PSCOV","PSSD","q"
"35",33,"1987DOG_CREEK","DOG CREEK",1987,"yes","Forest",1,"NPS","KNP",0,170,11,6.3,6,4,41.2,2.6,0,0,0,0,0,0,0,NA,0.989,0.614,0.413,0.596,0.525,0.247,0,NA,NA,NA,0,NA,0,NA,0,NA,0,0,1.19,9,0.72,112.618,1.34,-0.0226298369304165
"44",41,"1987FROG","FROG",1987,"yes","Forest",1,"NPS","YNP",0,1554,66,4.2,4,10,15.7,0.7,0,0,0,0,0,0,1.003,0.913,1.684,0.81,1.331,0.96,0.782,0.72,1.003,0.913,NA,3,1.003,0.913,1.003,0.913,1.04,0.947,0.607,0.631,1.69,39,0.81,144.179,2.439,-0.0199798210365101
"46",43,"1987GLEN_AULIN","GLEN AULIN",1987,"yes","Forest",1,"NPS","YNP",0,106,23,21.5,21,10,45.5,9.8,0,0,0.1,0,0,0,1.05,0.956,1.289,0.72,1.107,0.798,0.663,0.622,1.05,0.956,NA,3,1.05,0.956,1.05,0.956,1.009,0.918,0.636,0.612,2.85,8,0.855,129.779,3.694,-0.0164805908743413
"62",410,"1987LIGHTNING120","LIGHTNING #120 (CRANK)",1987,"no","Forest",1,"CDF","LMU",NA,1725,853,49.5,49,661,77.5,38.3,323.4,18.7,37.9,112.5,6.5,13.2,NA,NA,0.738,0.355,NA,NA,0.374,NA,NA,NA,NA,NA,NA,NA,0.757,0.47,NA,NA,0.375,NA,29.418,29,0.36,413.686,121.696,-0.00210651191524815
"64",59,"1987LOST_BEAR","LOST BEAR",1987,"yes","Forest",1,"NPS","YNP",0,809,33,4.1,4,5,14.6,0.6,0,0,0,0,0,0,0,NA,1.17,0.653,0.58,0.837,0.588,0.391,0,NA,NA,NA,0,NA,0,NA,0,NA,0,0,1.11,30,0.45,126.32,1.406,-0.0229766906110853
"66",411,"1987MENDENHALL","MENDENHALL",1987,"no","Forest",1,"CDF","MEU",NA,21919,8586,39.2,39,4875,56.8,22.2,2920.2,13.3,34,1100,5,12.8,NA,NA,1.096,0.441,NA,NA,0.439,NA,NA,NA,NA,NA,NA,NA,1.215,0.438,NA,NA,0.443,NA,13.478,637,0.54,1451.695,195.663,-0.0011466056103761
"71",64,"1987PIERCE","PIERCE",1987,"no","Forest",1,"CDF","TUU",75,290,37,12.7,12,13,34.2,4.3,0.9,0.3,2.4,0,0,0,0.928,0.845,1.121,0.576,0.986,0.711,0.562,0.533,0.928,0.845,NA,3,0.928,0.845,0.928,0.845,0.896,0.816,0.545,0.525,4.6,8,2.43,100.169,4.609,-0.0125372390267458
"77",70,"1987SNAG_CMPLX","SNAG COMPLEX",1987,"no","Forest",1,"NPS","LNP",0,325,29,8.9,8,11,37.5,3.3,0,0,0,0,0,0,0.662,0.954,1.187,0.663,0.886,0.806,0.635,0.555,0.662,0.954,NA,2,0.662,0.954,0.662,0.954,0.68,0.981,0.469,0.487,2.62,11,0.99,118.413,3.1,-0.0182257245922991
"86",79,"1988ALASKA","ALASKA",1988,"yes","Forest",1,"NPS","YNP",0,770,8,1.1,1,4,47.8,0.5,0,0,0,0,0,0,0,NA,0.701,0.506,0,NA,0.356,0,0,NA,NA,NA,0,NA,0,NA,0,NA,0,0,1.35,6,0.54,101.251,1.367,-0.0215802430862188
"87",80,"1988BUCKEYE","BUCKEYE",1988,"yes","Forest",1,"NPS","KNP",0,1290,302,23.4,23,255,84.2,19.7,99.2,7.7,32.8,17.2,1.3,5.7,0.503,0.458,0.666,0.32,0.501,0.362,0.283,0.233,0.503,0.458,0.458,3,0.503,0.458,0.503,0.458,0.447,0.407,0.272,0.229,6.87,44,0.45,550.445,37.797,-0.00431746946755714
